half true,half true
false,mostly false
half true,false
false,false
false,false
false,mostly false
false,half- right
mostly false,false
half true,false
false,false
mostly false,false
mostly true,mostly true
mostly false,false
half true,mostly false
half true,half true
false,mostly false
mostly true,mostly true
false,half true
false,mostly false
false,mostly false
mostly true,mostly true
true,true
mostly false,mostly false
false,false
false,false
mostly false,half true
mostly false,false
mostly false,false
false,false